quantile_value,income
0.0000000000,114000.0000000000
0.0001000100,114000.0000000000
0.0002000200,114000.0000000000
0.0003000300,114000.0000000000
0.0004000400,114000.0000000000
0.0005000500,114000.0000000000
0.0006000600,114000.0000000000
0.0007000700,114000.0000000000
0.0008000800,114000.0000000000
0.0009000900,114000.0000000000
0.0010001000,114000.0000000000
0.0011001100,114000.0000000000
0.0012001200,114000.0000000000
0.0013001300,114000.0000000000
0.0014001400,114000.0000000000
0.0015001500,114000.0000000000
0.0016001600,114000.0000000000
0.0017001700,114094.2176504607
0.0018001800,114602.3800164061
0.0019001900,115436.1531358096
0.0020002000,116464.7567225085
0.0021002100,117557.4104903403
0.0022002200,118583.3341531425
0.0023002300,119411.7474247524
0.0024002400,119911.8700190075
0.0025002500,120000.0000000000
0.0026002600,120000.0000000000
0.0027002700,120000.0000000000
0.0028002800,120000.0000000000
0.0029002900,120000.0000000000
0.0030003000,120000.0000000000
0.0031003100,120000.0000000000
0.0032003200,120000.0000000000
0.0033003300,120000.0000000000
0.0034003400,120000.0000000000
0.0035003500,120000.0000000000
0.0036003600,120000.0000000000
0.0037003700,120000.0000000000
0.0038003800,120000.0000000000
0.0039003900,120000.0000000000
0.0040004000,120000.0000000000
0.0041004100,120000.0000000000
0.0042004200,120000.0000000000
0.0043004300,120000.0000000000
0.0044004400,120000.0000000000
0.0045004500,120000.0000000000
0.0046004600,120000.0000000000
0.0047004700,120000.0000000000
0.0048004800,120000.0000000000
0.0049004900,120000.0000000000
0.0050005001,120000.0000000000
0.0051005101,120000.0000000000
0.0052005201,120000.0000000000
0.0053005301,120000.0000000000
0.0054005401,120000.0000000000
0.0055005501,120000.0000000000
0.0056005601,120000.0000000000
0.0057005701,120000.0000000000
0.0058005801,120187.6265658317
0.0059005901,121152.8641764965
0.0060006001,122726.1366690853
0.0061006101,124666.8917548817
0.0062006201,126734.5771451690
0.0063006301,128688.6405512307
0.0064006401,130288.5296843502
0.0065006501,131293.6922558110
0.0066006601,131556.6771780510
0.0067006701,131660.1818542288
0.0068006801,131750.8101731386
0.0069006901,131828.1224514582
0.0070007001,131891.6790058658
0.0071007101,131941.0401530390
0.0072007201,131975.7662096559
0.0073007301,131995.4174923944
0.0074007401,132000.0000000000
0.0075007501,132000.0000000000
0.0076007601,132000.0000000000
0.0077007701,132000.0000000000
0.0078007801,132000.0000000000
0.0079007901,132000.0000000000
0.0080008001,132000.0000000000
0.0081008101,132000.0000000000
0.0082008201,132000.4039071804
0.0083008301,132240.4997724598
0.0084008401,132847.2898068426
0.0085008501,133709.5662839999
0.0086008601,134716.1214776032
0.0087008701,135755.7476613236
0.0088008801,136717.2371088325
0.0089008901,137489.3820938011
0.0090009001,137960.9748899008
0.0091009101,138169.6128640049
0.0092009201,138335.0981950400
0.0093009301,138470.7499790426
0.0094009401,138585.3667063139
0.0095009501,138687.7468671556
0.0096009601,138786.6889518691
0.0097009701,138890.9914507558
0.0098009801,139009.4528541174
0.0099009901,139143.5947778698
0.0100010001,139274.6932534957
0.0101010101,139404.2559236566
0.0102010201,139535.8073634407
0.0103010301,139672.8721479360
0.0104010401,139818.9748522305
0.0105010501,139977.6400514125
0.0106010601,140152.3923205698
0.0107010701,140355.7783594101
0.0108010801,140644.0179276879
0.0109010901,140998.7223145482
0.0110011001,141386.5404308337
0.0111011101,141774.1211873872
0.0112011201,142128.1134950513
0.0113011301,142415.1662646687
0.0114011401,142601.9284070821
0.0115011501,142660.2017235446
0.0116011601,142673.3127063685
0.0117011701,142682.3564339491
0.0118011801,142688.7220432400
0.0119011901,142693.7986711948
0.0120012001,142698.9754547672
0.0121012101,142705.6415309107
0.0122012201,142715.1860365789
0.0123012301,142729.0677622435
0.0124012401,142767.3438184787
0.0125012501,142839.0532384455
0.0126012601,142935.5237733890
0.0127012701,143048.0831745545
0.0128012801,143168.0591931869
0.0129012901,143286.7795805315
0.0130013001,143395.5720878334
0.0131013101,143485.7644663376
0.0132013201,143563.0925167445
0.0133013301,143645.0955679303
0.0134013401,143727.7553562099
0.0135013501,143806.7191188512
0.0136013601,143877.6340931225
0.0137013701,143936.1475162917
0.0138013801,143977.9066256270
0.0139013901,143998.5586583964
0.0140014001,144000.0000000000
0.0141014101,144000.0000000000
0.0142014201,144000.0000000000
0.0143014301,144000.0000000000
0.0144014401,144000.0000000000
0.0145014501,144000.0000000000
0.0146014601,144000.0000000000
0.0147014701,144000.0000000000
0.0148014801,144000.0000000000
0.0149014901,144000.0000000000
0.0150015002,144000.0000000000
0.0151015102,144000.0000000000
0.0152015202,144000.0000000000
0.0153015302,144000.0000000000
0.0154015402,144000.0000000000
0.0155015502,144000.0000000000
0.0156015602,144000.0000000000
0.0157015702,144000.0000000000
0.0158015802,144000.0000000000
0.0159015902,144000.0000000000
0.0160016002,144000.0000000000
0.0161016102,144000.0000000000
0.0162016202,144000.0000000000
0.0163016302,144000.0000000000
0.0164016402,144000.0000000000
0.0165016502,144000.0000000000
0.0166016602,144000.0000000000
0.0167016702,144000.0000000000
0.0168016802,144000.0000000000
0.0169016902,144000.0000000000
0.0170017002,144000.0000000000
0.0171017102,144000.0000000000
0.0172017202,144000.0000000000
0.0173017302,144000.0000000000
0.0174017402,144000.0000000000
0.0175017502,144000.0000000000
0.0176017602,144000.0000000000
0.0177017702,144000.0000000000
0.0178017802,144000.0000000000
0.0179017902,144000.0000000000
0.0180018002,144000.0000000000
0.0181018102,144000.0000000000
0.0182018202,144000.0000000000
0.0183018302,144000.0000000000
0.0184018402,144000.0000000000
0.0185018502,144000.0000000000
0.0186018602,144000.0000000000
0.0187018702,144000.0000000000
0.0188018802,144000.0000000000
0.0189018902,144000.0000000000
0.0190019002,144000.0000000000
0.0191019102,144000.0000000000
0.0192019202,144000.0000000000
0.0193019302,144000.0000000000
0.0194019402,144000.0000000000
0.0195019502,144000.0000000000
0.0196019602,144000.0000000000
0.0197019702,144000.0000000000
0.0198019802,144000.0000000000
0.0199019902,144000.0000000000
0.0200020002,144000.0000000000
0.0201020102,144000.0000000000
0.0202020202,144000.0000000000
0.0203020302,144000.0000000000
0.0204020402,144000.0000000000
0.0205020502,144000.0000000000
0.0206020602,144000.0000000000
0.0207020702,144000.0000000000
0.0208020802,144000.0000000000
0.0209020902,144000.0000000000
0.0210021002,144000.0000000000
0.0211021102,144000.0000000000
0.0212021202,144000.0000000000
0.0213021302,144000.0000000000
0.0214021402,144000.0000000000
0.0215021502,144000.0000000000
0.0216021602,144000.0000000000
0.0217021702,144000.0000000000
0.0218021802,144000.0000000000
0.0219021902,144000.0000000000
0.0220022002,144000.0000000000
0.0221022102,144000.0000000000
0.0222022202,144000.0000000000
0.0223022302,144000.0000000000
